iter	Passed	Remaining
0	150	150201
1	150	75343
2	151	50361
3	152	37864
4	152	30379
5	153	25384
6	153	21817
7	154	19143
8	154	17055
9	155	15390
10	156	14029
11	156	12893
12	157	11934
13	157	11108
14	158	10392
15	158	9768
16	159	9218
17	159	8726
18	160	8286
19	161	7891
20	161	7533
21	162	7207
22	162	6912
23	163	6641
24	163	6391
25	164	6162
26	165	5949
27	165	5751
28	166	5566
29	166	5394
30	167	5232
31	167	5080
32	168	4936
33	169	4804
34	169	4682
35	170	4563
36	171	4451
37	171	4347
38	172	4247
39	172	4150
40	173	4057
41	174	3969
42	174	3885
43	175	3805
44	175	3728
45	176	3655
46	176	3585
47	177	3518
48	177	3453
49	178	3390
50	179	3331
51	179	3273
52	180	3218
53	180	3166
54	181	3114
55	181	3065
56	182	3016
57	182	2971
58	183	2927
59	184	2884
60	184	2842
61	185	2802
62	185	2762
63	186	2724
64	186	2688
65	187	2652
66	187	2617
67	188	2580
68	188	2547
69	189	2515
70	189	2484
71	190	2454
72	190	2425
73	191	2396
74	192	2368
75	192	2341
76	193	2314
77	193	2288
78	194	2263
79	194	2239
80	195	2214
81	195	2191
82	196	2169
83	196	2147
84	197	2123
85	197	2102
86	198	2080
87	198	2060
88	199	2041
89	199	2022
90	200	2003
91	201	1984
92	201	1966
93	202	1949
94	202	1932
95	203	1915
96	203	1898
97	204	1882
98	205	1866
99	205	1850
100	206	1835
101	206	1817
102	207	1803
103	207	1789
104	208	1775
105	208	1762
106	209	1748
107	210	1735
108	210	1722
109	211	1709
110	211	1697
111	212	1684
112	212	1671
113	213	1659
114	214	1647
115	214	1635
116	215	1623
117	215	1612
118	216	1600
119	216	1589
120	217	1578
121	217	1567
122	218	1555
123	218	1544
124	219	1534
125	219	1524
126	220	1514
127	220	1503
128	221	1493
129	221	1484
130	222	1474
131	222	1465
132	223	1456
133	224	1448
134	224	1439
135	225	1431
136	225	1422
137	226	1413
138	226	1405
139	227	1397
140	228	1389
141	228	1381
142	229	1373
143	229	1365
144	230	1358
145	230	1350
146	231	1343
147	232	1336
148	232	1329
149	233	1322
150	233	1315
151	234	1308
152	235	1301
153	235	1294
154	236	1288
155	236	1281
156	237	1275
157	238	1269
158	238	1262
159	239	1256
160	239	1250
161	240	1243
162	241	1237
163	241	1231
164	242	1225
165	242	1220
166	243	1214
167	244	1208
168	244	1202
169	245	1196
170	245	1191
171	246	1185
172	246	1180
173	247	1174
174	247	1169
175	248	1163
176	249	1158
177	249	1153
178	250	1147
179	250	1142
180	251	1136
181	251	1131
182	252	1126
183	252	1121
184	253	1115
185	253	1110
186	254	1105
187	254	1100
188	255	1095
189	255	1090
190	256	1086
191	256	1081
192	257	1076
193	257	1071
194	258	1067
195	259	1062
196	259	1057
197	260	1053
198	260	1049
199	261	1044
200	261	1040
201	262	1035
202	262	1031
203	263	1027
204	263	1022
205	264	1018
206	264	1014
207	265	1010
208	265	1006
209	266	1002
210	267	998
211	267	994
212	268	990
213	268	987
214	269	983
215	269	979
216	270	975
217	271	972
218	271	968
219	272	965
220	272	961
221	273	957
222	273	954
223	274	950
224	274	947
225	275	943
226	276	940
227	276	936
228	277	933
229	277	930
230	278	926
231	278	923
232	279	920
233	280	917
234	280	913
235	281	910
236	282	907
237	282	905
238	283	902
239	283	899
240	284	895
241	285	892
242	285	889
243	286	886
244	286	883
245	287	880
246	287	877
247	288	874
248	289	872
249	289	869
250	290	866
251	290	863
252	291	860
253	292	857
254	292	854
255	293	851
256	293	849
257	294	846
258	294	843
259	295	840
260	296	838
261	296	835
262	297	832
263	297	830
264	298	827
265	298	825
266	299	822
267	300	819
268	300	817
269	301	814
270	301	812
271	302	809
272	302	806
273	303	804
274	304	801
275	304	799
276	305	796
277	305	794
278	306	791
279	307	789
280	307	787
281	308	785
282	309	783
283	309	780
284	310	778
285	311	776
286	311	774
287	312	772
288	313	770
289	313	768
290	314	765
291	314	763
292	315	761
293	316	759
294	316	756
295	317	754
296	317	752
297	318	749
298	318	747
299	319	745
300	319	742
301	320	740
302	320	738
303	321	735
304	321	733
305	322	731
306	323	729
307	323	727
308	324	724
309	324	722
310	325	720
311	325	718
312	326	716
313	326	713
314	327	711
315	327	709
316	328	707
317	328	705
318	329	703
319	329	701
320	330	699
321	331	696
322	331	694
323	332	692
324	332	690
325	333	688
326	333	686
327	334	684
328	334	682
329	335	680
330	335	678
331	336	677
332	337	675
333	337	673
334	338	671
335	338	669
336	339	667
337	340	665
338	340	663
339	341	662
340	341	660
341	342	658
342	342	656
343	343	654
344	343	652
345	344	651
346	345	649
347	345	647
348	346	645
349	346	644
350	347	642
351	347	640
352	348	638
353	349	637
354	364	662
355	365	661
356	366	660
357	367	658
358	367	656
359	368	654
360	368	652
361	369	650
362	369	649
363	370	647
364	370	645
365	371	643
366	371	641
367	372	639
368	372	637
369	373	635
370	374	634
371	374	632
372	375	630
373	375	628
374	376	626
375	376	625
376	377	623
377	377	621
378	378	619
379	378	618
380	379	616
381	380	614
382	380	613
383	381	611
384	381	609
385	382	608
386	382	606
387	383	604
388	383	603
389	384	601
390	385	599
391	385	598
392	386	596
393	386	594
394	387	593
395	387	591
396	388	590
397	389	588
398	389	587
399	390	585
400	390	584
401	391	582
402	392	581
403	392	579
404	393	578
405	394	576
406	394	574
407	395	573
408	395	571
409	396	570
410	396	568
411	397	566
412	397	565
413	398	563
414	398	562
415	399	560
416	399	559
417	400	557
418	400	555
419	401	554
420	402	552
421	402	551
422	403	549
423	403	548
424	404	546
425	404	545
426	405	543
427	405	542
428	406	540
429	406	539
430	407	537
431	407	536
432	408	534
433	408	533
434	409	531
435	409	530
436	410	528
437	410	527
438	411	525
439	412	524
440	412	523
441	413	521
442	413	520
443	414	518
444	414	517
445	415	515
446	415	514
447	416	513
448	416	511
449	417	510
450	417	508
451	418	507
452	419	505
453	419	504
454	420	503
455	420	501
456	421	500
457	421	499
458	422	497
459	422	496
460	423	495
461	424	493
462	424	492
463	425	491
464	425	489
465	426	488
466	426	487
467	427	485
468	427	484
469	428	483
470	429	481
471	429	480
472	430	479
473	430	478
474	431	476
475	431	475
476	432	474
477	432	472
478	433	471
479	433	470
480	434	468
481	435	467
482	435	466
483	436	465
484	436	463
485	437	462
486	438	461
487	438	460
488	439	459
489	439	457
490	440	456
491	441	455
492	441	454
493	442	452
494	442	451
495	443	450
496	443	449
497	444	447
498	444	446
499	445	445
500	445	444
501	446	442
502	447	441
503	447	440
504	448	439
505	448	438
506	449	436
507	449	435
508	450	434
509	450	433
510	451	432
511	452	430
512	452	429
513	453	428
514	453	427
515	454	426
516	454	424
517	455	423
518	455	422
519	456	421
520	456	420
521	457	418
522	457	417
523	458	416
524	458	415
525	459	414
526	460	412
527	460	411
528	461	410
529	461	409
530	462	408
531	462	406
532	463	405
533	463	404
534	464	403
535	465	402
536	465	401
537	466	400
538	466	399
539	467	398
540	467	396
541	468	395
542	468	394
543	469	393
544	470	392
545	470	391
546	471	390
547	471	389
548	472	387
549	472	386
550	473	385
551	474	384
552	474	383
553	475	382
554	475	381
555	476	380
556	477	379
557	477	378
558	478	377
559	478	376
560	479	375
561	479	373
562	480	372
563	481	371
564	481	370
565	482	369
566	482	368
567	483	367
568	483	366
569	484	365
570	484	364
571	485	363
572	486	362
573	486	361
574	487	360
575	487	359
576	488	357
577	488	356
578	489	355
579	489	354
580	490	353
581	491	352
582	491	351
583	492	350
584	492	349
585	493	348
586	493	347
587	494	346
588	495	345
589	495	344
590	496	343
591	496	342
592	497	341
593	498	340
594	498	339
595	499	338
596	499	337
597	500	336
598	500	335
599	501	334
600	501	333
601	502	332
602	503	331
603	503	330
604	504	329
605	504	328
606	505	327
607	505	326
608	506	325
609	506	324
610	507	323
611	508	322
612	508	321
613	509	320
614	509	319
615	510	318
616	510	316
617	511	315
618	511	314
619	512	313
620	512	312
621	513	311
622	513	310
623	514	309
624	514	308
625	515	307
626	515	306
627	516	305
628	516	304
629	517	303
630	518	302
631	518	301
632	519	300
633	519	300
634	520	299
635	520	298
636	521	297
637	521	296
638	522	295
639	522	294
640	523	293
641	523	292
642	524	291
643	524	290
644	525	289
645	526	288
646	526	287
647	527	286
648	527	285
649	528	284
650	528	283
651	529	282
652	529	281
653	530	280
654	530	279
655	531	278
656	532	277
657	532	276
658	533	276
659	534	275
660	534	274
661	535	273
662	535	272
663	536	271
664	537	270
665	537	269
666	538	268
667	539	267
668	539	266
669	540	266
670	540	265
671	541	264
672	542	263
673	542	262
674	543	261
675	543	260
676	544	259
677	545	258
678	545	258
679	546	257
680	547	256
681	547	255
682	548	254
683	549	253
684	549	252
685	550	251
686	551	251
687	551	250
688	552	249
689	553	248
690	553	247
691	554	246
692	554	245
693	555	244
694	556	244
695	556	243
696	557	242
697	557	241
698	558	240
699	559	239
700	559	238
701	560	237
702	561	237
703	561	236
704	562	235
705	562	234
706	563	233
707	563	232
708	564	231
709	565	230
710	565	229
711	566	229
712	566	228
713	567	227
714	568	226
715	568	225
716	569	224
717	570	223
718	570	223
719	571	222
720	571	221
